place_loc,place_name
"{'lat': -7.2838192, 'lng': 112.7970126}",Tugu Departemen Teknik Fisika ITS
"{'lat': -7.2849429, 'lng': 112.797986}",Laboratorium Pengolahan Mineral
"{'lat': -7.2850231, 'lng': 112.7976665}",Metallurgical Laboratory ITS
"{'lat': -7.2850734, 'lng': 112.7977103}",Antasena ITS
"{'lat': -7.2851488, 'lng': 112.7976726}",Lab. Inovasi Material
"{'lat': -7.285208, 'lng': 112.797921}",Pascasarjana Teknik Material dan Metalurgi
"{'lat': -7.2853713, 'lng': 112.7976045}",Saluran Depan Teknik Industri
"{'lat': -7.285141199999998, 'lng': 112.7974047}",Departemen Teknik Material dan Metalurgi FTI ITS
"{'lat': -7.285222, 'lng': 112.7973943}",Departemen Teknik Material & Metalurgi
"{'lat': -7.2852029, 'lng': 112.7973656}",Sekretariat HMMT FTI ITS
"{'lat': -7.2851085, 'lng': 112.7982528}",SayOr ITS
"{'lat': -7.2856852, 'lng': 112.7975297}",Depan Fakultas Teknik Industri
"{'lat': -7.2862613, 'lng': 112.7975475}",Wisma Flamboyan
"{'lat': -7.2859603, 'lng': 112.7976682}",Perumahan Dosen ITS Blok T
"{'lat': -7.2860687, 'lng': 112.7976618}",Nasi goreng flamboyan
"{'lat': -7.2860969, 'lng': 112.797845}","ALPU Service Laptop dan Komputer, Rakit Komputer 24 Jam"
"{'lat': -7.286257900000001, 'lng': 112.7981983}",drg Ariesta W
"{'lat': -7.287021, 'lng': 112.798571}","GlobalExindo | Jasa Survey & Pemetaan, Siteplan, Pemetaan Udara (aerial mapping), bathymetry"
"{'lat': -7.2862211, 'lng': 112.798454}",MIGO Substation
"{'lat': -7.286410999999999, 'lng': 112.798551}",CV. Sahaja
"{'lat': -7.286382000000001, 'lng': 112.798717}",MARINA Generation
"{'lat': -7.2869397, 'lng': 112.7985325}",Rental Mobil
"{'lat': -7.286537999999998, 'lng': 112.798942}",SS Rent Car
"{'lat': -7.287057799999999, 'lng': 112.7977745}",pos skk blok T
"{'lat': -7.2871303, 'lng': 112.7979636}",Shirathal Mustaqim
"{'lat': -7.288035999999999, 'lng': 112.7978806}",Handprint
"{'lat': -7.287335400000001, 'lng': 112.7980658}",Kos A Pak Agam
"{'lat': -7.28742, 'lng': 112.7980641}",Depot raysa
"{'lat': -7.28742, 'lng': 112.7980641}",Warung lancar
"{'lat': -7.2874269, 'lng': 112.7980759}",Potong Rambut Special One
"{'lat': -7.287322599999999, 'lng': 112.7982608}",Kost UPDATE 1
"{'lat': -7.287242900000001, 'lng': 112.7984396}",Kost Pria Hj Rohimah
"{'lat': -7.287768000000001, 'lng': 112.797877}",Early Cell
"{'lat': -7.287768000000001, 'lng': 112.797748}",Ainie Laundry
"{'lat': -7.287867799999999, 'lng': 112.7978928}",Rahayu Fotocopy Dan Penjilidan
"{'lat': -7.2872971, 'lng': 112.7986988}",Unitech Perdana Computer
"{'lat': -7.287777099999999, 'lng': 112.7983696}",Yayasan MTA Cabang Sukolilo Surabaya
"{'lat': -7.287264600000002, 'lng': 112.7987129}",Griya Rahayu
"{'lat': -7.287911999999999, 'lng': 112.797933}",Fotocopy Mandiri
"{'lat': -7.287291899999999, 'lng': 112.7987426}",Dewa Cell
"{'lat': -7.2873155, 'lng': 112.798778}",Blue kost
"{'lat': -7.287411400000002, 'lng': 112.7989718}",cinta travel
"{'lat': -7.287446399999999, 'lng': 112.7989613}",BOBA TEA
"{'lat': -7.2871389, 'lng': 112.7989759}",Cak Her Coffee Shop
"{'lat': -7.287754999999998, 'lng': 112.798938}",Kantin aa ndut bonlap
"{'lat': -7.2876996, 'lng': 112.7991702}",Putri Laundry
"{'lat': -7.287632800000001, 'lng': 112.7993821}",Kos C Bu Evi
"{'lat': -7.2876261, 'lng': 112.7995283}",Kosan Pak Budi
"{'lat': -7.287884699999998, 'lng': 112.7993036}",Taiba Creative Center (TCC)
"{'lat': -7.287946699999999, 'lng': 112.799304}",Graha F3
"{'lat': -7.2879716, 'lng': 112.7994178}",Chill Bouquet & Parcel Shop
"{'lat': -7.287992300000002, 'lng': 112.7992805}",Kost Green House
"{'lat': -7.287936699999999, 'lng': 112.7997151}",Jamur santuy
"{'lat': -7.288009199999999, 'lng': 112.799651}",Sekretariat Paguyuban KSE ITS
"{'lat': -7.287949999999999, 'lng': 112.799035}",Pangkas Rambut Sakti
"{'lat': -7.288107, 'lng': 112.7995122}",Supermarket Keputih
"{'lat': -7.2876444, 'lng': 112.7999102}",Rumah Baca Ceria
"{'lat': -7.2876182, 'lng': 112.7999499}",Keputih Gang I D
"{'lat': -7.288048799999999, 'lng': 112.7990308}",Kos Putri P.Pasiran
"{'lat': -7.288035999999999, 'lng': 112.798949}",Nayna Jus
"{'lat': -7.2880754, 'lng': 112.7989255}",Youbuy_shopies
"{'lat': -7.288253999999999, 'lng': 112.7989781}",Kost Shafira
"{'lat': -7.288343099999998, 'lng': 112.7988685}",Kos Putera Bu Hid
"{'lat': -7.2884525, 'lng': 112.7989}",Kos SaBiL
"{'lat': -7.288471500000001, 'lng': 112.7989231}",Kos Keputih ITS MUSLIMAH SBL 2
"{'lat': -7.288471200000003, 'lng': 112.7991377}","Warkop Dan Warung Sate ""DJ"""
"{'lat': -7.288480699999998, 'lng': 112.7991382}",Greenhouse
